time,SO2,NO2,O3,PM10,PM2.5,CO,CO_model,NO2_model,SO2_model,O3_model,PM10_model,PM2.5_model
2022-01-27 01:00:00,0.1,6.1,47.2,1.5,1.0,240,267.0,2.734375,0.5800781,45.75,1.984375,1.3828125
2022-01-27 02:00:00,0.1,5.4,45.5,1.0,1.0,260,267.0,2.671875,0.5644531,43.875,2.1484375,1.4375
2022-01-27 03:00:00,0.0,4.7,44.5,1.0,1.0,200,263.0,2.6328125,0.5878906,42.5,2.5859375,1.6953125
2022-01-27 04:00:00,0.1,4.1,43.4,1.0,0.0,180,263.0,2.9921875,0.7363281,41.75,3.65625,2.40625
2022-01-27 05:00:00,0.1,4.0,42.9,1.0,-1.0,180,283.0,4.140625,1.0546875,41.125,6.078125,3.9453125
2022-01-27 06:00:00,0.0,6.9,40.1,1.0,-1.0,170,297.0,5.390625,1.265625,40.0,7.859375,5.03125
2022-01-27 07:00:00,0.1,10.0,38.3,1.0,-1.0,180,293.0,5.5625,1.2929688,40.0,8.25,5.1875
2022-01-27 08:00:00,0.2,24.4,29.1,1.0,-1.0,210,283.0,4.65625,1.1171875,41.75,7.125,4.359375
2022-01-27 09:00:00,0.4,39.6,18.9,1.0,-1.0,250,270.0,3.765625,0.9003906,44.25,5.390625,3.296875
2022-01-27 10:00:00,0.4,33.2,24.2,3.0,0.0,200,263.0,3.25,0.87890625,49.25,4.140625,2.671875
2022-01-27 11:00:00,0.3,29.7,35.4,5.0,1.0,250,270.0,3.46875,0.9980469,54.25,3.53125,2.1015625
2022-01-27 12:00:00,0.2,28.6,41.5,5.0,1.0,250,280.0,3.765625,1.1015625,56.5,3.4140625,1.7539062
2022-01-27 13:00:00,0.2,20.5,51.4,7.0,2.0,190,283.0,4.1875,1.21875,57.125,3.390625,1.734375
2022-01-27 14:00:00,0.2,21.8,50.0,9.0,3.0,180,287.0,4.53125,1.2929688,56.5,3.328125,1.8085938
2022-01-27 15:00:00,0.0,19.0,50.7,9.0,3.0,160,287.0,4.796875,1.28125,56.5,3.4609375,2.0859375
2022-01-27 16:00:00,0.0,15.3,53.1,7.5,2.5,170,287.0,5.34375,1.3085938,55.75,3.6796875,2.3828125
2022-01-27 17:00:00,0.0,15.6,52.2,6.0,2.0,190,303.0,6.5,1.4726562,54.25,4.71875,3.234375
2022-01-27 18:00:00,0.0,12.9,53.1,6.0,2.0,190,313.0,7.453125,1.6367188,51.375,5.390625,3.734375
2022-01-27 19:00:00,0.0,15.7,49.0,4.0,1.0,200,310.0,6.671875,1.7695312,50.75,5.171875,3.390625
2022-01-27 20:00:00,0.1,19.1,44.2,2.0,0.0,220,313.0,6.5,2.0546875,50.0,5.4375,3.59375
2022-01-27 21:00:00,0.1,18.4,43.0,2.0,0.0,230,313.0,7.015625,2.3203125,47.875,5.25,3.5859375
2022-01-27 22:00:00,0.0,17.3,41.9,1.0,0.0,220,297.0,7.28125,2.46875,45.75,3.796875,2.7109375
2022-01-27 23:00:00,0.0,12.0,43.4,0.0,0.0,210,290.0,7.796875,2.9140625,43.875,3.0625,2.3359375
2022-01-28 00:00:00,0.0,9.9,43.6,0.0,0.0,210,287.0,7.359375,3.0390625,43.625,2.8984375,2.3125
2022-01-28 01:00:00,0.1,14.9,36.8,0.0,0.5,230,293.0,8.125,3.0390625,39.25,3.0625,2.546875
2022-01-28 02:00:00,0.0,18.0,30.9,0.0,1.0,220,283.0,6.15625,2.3203125,42.5,2.3671875,1.9882812
2022-01-28 03:00:00,0.1,8.4,41.6,0.0,1.0,200,273.0,5.5625,1.9648438,44.625,1.8984375,1.578125
2022-01-28 04:00:00,0.0,6.3,47.3,0.0,0.5,170,273.0,7.015625,2.0234375,44.625,2.1484375,1.7695312
2022-01-28 05:00:00,0.4,20.8,36.8,0.0,0.0,180,293.0,10.09375,2.5625,40.0,3.4140625,2.75
2022-01-28 06:00:00,0.4,21.8,32.1,0.0,0.0,200,307.0,13.0,3.390625,35.375,4.421875,3.5625
2022-01-28 07:00:00,0.1,10.3,40.4,-0.5,-0.5,200,320.0,14.21875,3.8125,30.75,5.453125,4.484375
2022-01-28 08:00:00,0.2,19.7,32.2,-1.0,-1.0,220,323.0,13.1875,3.2734375,26.4375,5.34375,4.265625
2022-01-28 09:00:00,0.6,27.5,18.9,-1.0,-1.0,220,310.0,10.1875,2.2578125,26.0625,3.9140625,2.953125
2022-01-28 10:00:00,1.1,31.7,14.6,0.0,-0.5,230,293.0,5.734375,1.4726562,32.5,2.2578125,1.4765625
2022-01-28 11:00:00,1.3,36.4,14.0,1.0,0.0,230,277.0,2.8203125,1.0273438,45.0,1.3632812,0.7480469
2022-01-28 12:00:00,1.2,40.1,15.6,1.0,0.0,240,273.0,2.90625,1.1757812,48.625,1.4609375,0.95703125
2022-01-28 13:00:00,0.9,35.3,15.2,2.5,0.5,240,270.0,3.25,1.4570312,57.125,1.1601562,0.71875
2022-01-28 14:00:00,0.6,31.0,21.6,4.0,1.0,260,263.0,3.125,1.4570312,67.75,0.91796875,0.5
2022-01-28 15:00:00,0.3,25.7,39.2,4.0,1.0,230,260.0,3.0390625,1.4296875,71.5,0.9394531,0.5
2022-01-28 16:00:00,0.6,38.2,39.2,4.5,1.0,260,270.0,3.125,1.53125,62.125,1.1054688,0.6152344
2022-01-28 17:00:00,0.4,28.3,50.5,5.0,1.0,240,277.0,3.3359375,1.578125,55.0,1.2304688,0.6699219
2022-01-28 18:00:00,0.5,31.7,44.9,5.0,1.0,260,273.0,3.296875,1.546875,55.75,1.1835938,0.61328125
2022-01-28 19:00:00,0.4,26.4,47.6,4.5,0.5,250,270.0,3.078125,1.53125,61.5,1.078125,0.5449219
2022-01-28 20:00:00,0.3,20.8,51.8,4.0,0.0,230,270.0,3.3828125,1.7851562,65.75,1.0976562,0.55859375
2022-01-28 21:00:00,0.2,19.3,57.5,4.0,0.0,220,270.0,3.3828125,1.8164062,66.5,0.9609375,0.5
2022-01-28 22:00:00,0.1,12.4,64.3,3.5,-0.5,210,267.0,3.0390625,1.578125,67.0,0.8652344,0.5
2022-01-28 23:00:00,0.2,11.4,65.8,3.0,-1.0,210,267.0,2.734375,1.4140625,67.75,0.8828125,0.5
2022-01-29 00:00:00,0.1,8.9,67.7,3.0,-1.0,210,270.0,2.8203125,1.5625,69.25,0.97265625,0.5136719
2022-01-29 01:00:00,0.1,5.1,70.9,1.5,-0.5,210,280.0,3.421875,1.7578125,62.125,1.7070312,0.9746094
2022-01-29 02:00:00,0.1,3.1,70.8,0.0,0.0,210,290.0,4.140625,1.9960938,59.25,2.9140625,1.6953125
2022-01-29 03:00:00,0.2,4.9,68.5,0.0,0.0,220,303.0,5.21875,2.3828125,55.0,4.359375,2.5703125
2022-01-29 04:00:00,0.2,5.5,68.7,-0.5,0.0,210,323.0,6.765625,2.9140625,50.75,6.484375,3.84375
2022-01-29 05:00:00,0.2,15.4,53.7,-1.0,0.0,240,367.0,8.28125,3.390625,46.375,11.03125,6.515625
2022-01-29 06:00:00,0.1,15.1,53.8,-1.0,0.0,220,373.0,7.625,2.9453125,47.875,12.03125,6.84375
2022-01-29 07:00:00,0.1,11.0,59.1,-0.5,0.0,200,320.0,4.1875,1.8476562,59.25,7.296875,3.6875
2022-01-29 08:00:00,0.2,11.3,58.2,0.0,0.0,210,303.0,3.1640625,1.4453125,62.125,6.046875,2.6796875
2022-01-29 09:00:00,0.2,24.1,52.0,0.0,0.0,200,283.0,2.3515625,1.1757812,65.0,4.125,1.65625
2022-01-29 10:00:00,0.2,15.7,59.7,0.5,0.0,200,263.0,1.5625,0.8847656,71.5,1.90625,0.7324219
2022-01-29 11:00:00,0.1,12.3,64.3,1.0,0.0,200,260.0,1.625,0.84765625,72.0,1.4375,0.546875
2022-01-29 12:00:00,0.1,11.9,66.0,1.0,0.0,190,257.0,1.6484375,0.7597656,72.0,1.265625,0.5
2022-01-29 13:00:00,0.1,10.1,69.1,1.5,-0.5,160,253.5,1.6679688,0.6015625,71.5,0.99609375,0.5
2022-01-29 14:00:00,0.1,11.4,67.9,2.0,-1.0,150,250.0,1.9257812,0.5957031,70.0,0.87890625,0.5
2022-01-29 15:00:00,0.0,10.5,69.0,2.0,-1.0,150,253.5,2.4375,0.6171875,68.5,0.90625,0.5800781
2022-01-29 16:00:00,0.0,7.4,70.5,2.5,-0.5,140,253.5,2.5234375,0.49121094,66.5,0.9375,0.64453125
2022-01-29 17:00:00,0.1,4.9,71.2,3.0,0.0,140,257.0,2.4375,0.37597656,63.625,0.9316406,0.6191406
2022-01-29 18:00:00,0.1,4.6,69.2,3.0,0.0,140,260.0,4.53125,0.37597656,61.5,0.9472656,0.6308594
2022-01-29 19:00:00,0.0,4.0,68.9,2.5,0.0,150,260.0,4.921875,0.3310547,60.75,0.9921875,0.6953125
2022-01-29 20:00:00,-0.1,2.5,70.6,2.0,0.0,140,260.0,3.5546875,0.32714844,60.0,1.1875,0.8828125
